C1: Top 10 greatest temperature differences for the month of Dec between 2000 and 2016
Temperature Delta in C and F, Year Delta, Month, Country, Country Code
(C): 3.24,(F): 37.83,16,Dec,Iceland,ISL
(C): 3.36,(F): 38.05,16,Dec,Turkey,TUR
(C): 3.43,(F): 38.18,16,Dec,Republic of Serbia,SRB
(C): 3.53,(F): 38.35,16,Dec,Greece,GRC
(C): 3.57,(F): 38.42,16,Dec,Macedonia,MKD
(C): 3.58,(F): 38.44,16,Dec,Romania,ROU
(C): 3.82,(F): 38.88,16,Dec,Azerbaijan,AZE
(C): 4.20,(F): 39.55,16,Dec,Georgia,GEO
(C): 4.22,(F): 39.60,16,Dec,Bulgaria,BGR
(C): 4.33,(F): 39.79,16,Dec,Armenia,ARM
C1: Top 10 greatest temperature differences for the month of Jan between 2000 and 2016
Temperature Delta in C and F, Year Delta, Month, Country, Country Code
(C): 3.41,(F): 38.13,16,Jan,Portugal,PRT
(C): 3.54,(F): 38.37,16,Jan,Spain,ESP
(C): 3.93,(F): 39.07,16,Jan,Lithuania,LTU
(C): 4.25,(F): 39.65,16,Jan,Greenland,GRL
(C): 4.64,(F): 40.35,16,Jan,Canada,CAN
(C): 4.70,(F): 40.47,16,Jan,Latvia,LVA
(C): 5.02,(F): 41.04,16,Jan,Norway,NOR
(C): 5.63,(F): 42.13,16,Jan,Sweden,SWE
(C): 5.99,(F): 42.78,16,Jan,Estonia,EST
(C): 6.90,(F): 44.42,16,Jan,Finland,FIN
C1: Top 10 greatest temperature differences for the month of Dec between 2000 and 2016
Temperature Delta in C and F, Year Delta, Month, Country, Country Code
(C): 3.24,(F): 37.83,16,Dec,Iceland,ISL
(C): 3.36,(F): 38.05,16,Dec,Turkey,TUR
(C): 3.43,(F): 38.18,16,Dec,Republic of Serbia,SRB
(C): 3.53,(F): 38.35,16,Dec,Greece,GRC
(C): 3.57,(F): 38.42,16,Dec,Macedonia,MKD
(C): 3.58,(F): 38.44,16,Dec,Romania,ROU
(C): 3.82,(F): 38.88,16,Dec,Azerbaijan,AZE
(C): 4.20,(F): 39.55,16,Dec,Georgia,GEO
(C): 4.22,(F): 39.60,16,Dec,Bulgaria,BGR
(C): 4.33,(F): 39.79,16,Dec,Armenia,ARM
C1: Top 10 greatest temperature differences for the month of Jan between 2000 and 2016
Temperature Delta in C and F, Year Delta, Month, Country, Country Code
(C): 3.41,(F): 38.13,16,Jan,Portugal,PRT
(C): 3.54,(F): 38.37,16,Jan,Spain,ESP
(C): 3.93,(F): 39.07,16,Jan,Lithuania,LTU
(C): 4.25,(F): 39.65,16,Jan,Greenland,GRL
(C): 4.64,(F): 40.35,16,Jan,Canada,CAN
(C): 4.70,(F): 40.47,16,Jan,Latvia,LVA
(C): 5.02,(F): 41.04,16,Jan,Norway,NOR
(C): 5.63,(F): 42.13,16,Jan,Sweden,SWE
(C): 5.99,(F): 42.78,16,Jan,Estonia,EST
(C): 6.90,(F): 44.42,16,Jan,Finland,FIN
C1: Top 10 greatest temperature differences for the month of Dec between 2000 and 2016
Temperature Delta in C and F, Year Delta, Month, Country, Country Code
(C): 3.24,(F): 37.83,16,Dec,Iceland,ISL
(C): 3.36,(F): 38.05,16,Dec,Turkey,TUR
(C): 3.43,(F): 38.18,16,Dec,Republic of Serbia,SRB
(C): 3.53,(F): 38.35,16,Dec,Greece,GRC
(C): 3.57,(F): 38.42,16,Dec,Macedonia,MKD
(C): 3.58,(F): 38.44,16,Dec,Romania,ROU
(C): 3.82,(F): 38.88,16,Dec,Azerbaijan,AZE
(C): 4.20,(F): 39.55,16,Dec,Georgia,GEO
(C): 4.22,(F): 39.60,16,Dec,Bulgaria,BGR
(C): 4.33,(F): 39.79,16,Dec,Armenia,ARM
C1: Top 10 greatest temperature differences for the month of Jan between 2000 and 2016
Temperature Delta in C and F, Year Delta, Month, Country, Country Code
(C): 3.41,(F): 38.13,16,Jan,Portugal,PRT
(C): 3.54,(F): 38.37,16,Jan,Spain,ESP
(C): 3.93,(F): 39.07,16,Jan,Lithuania,LTU
(C): 4.25,(F): 39.65,16,Jan,Greenland,GRL
(C): 4.64,(F): 40.35,16,Jan,Canada,CAN
(C): 4.70,(F): 40.47,16,Jan,Latvia,LVA
(C): 5.02,(F): 41.04,16,Jan,Norway,NOR
(C): 5.63,(F): 42.13,16,Jan,Sweden,SWE
(C): 5.99,(F): 42.78,16,Jan,Estonia,EST
(C): 6.90,(F): 44.42,16,Jan,Finland,FIN
